Compilation;Date;Value;plotParameter;Order
"AESRD 2013 - SCO + Bitumen";1995-07-01;26.451669940386;2;1
"AESRD 2013 - SCO + Bitumen";1995-07-14;31.574765303967;2;1
"AESRD 2013 - SCO + Bitumen";1995-07-27;36.697860667548;2;1
"AESRD 2013 - SCO + Bitumen";1995-08-09;41.820956031129;2;1
"AESRD 2013 - SCO + Bitumen";1995-08-22;46.94405139471;2;1
"AESRD 2013 - SCO + Bitumen";1995-09-04;52.067146758291;2;1
"AESRD 2013 - SCO + Bitumen";1995-09-17;57.190242121872;2;1
"AESRD 2013 - SCO + Bitumen";1995-09-30;62.313337485454;2;1
"AESRD 2013 - SCO + Bitumen";1995-10-13;67.436432849035;2;1
"AESRD 2013 - SCO + Bitumen";1995-10-26;72.559528212616;2;1
"AESRD 2013 - SCO + Bitumen";1995-11-08;77.682623576197;2;1
"AESRD 2013 - SCO + Bitumen";1995-11-21;82.805718939778;2;1
"AESRD 2013 - SCO + Bitumen";1995-12-04;87.928814303359;2;1
"AESRD 2013 - SCO + Bitumen";1995-12-17;93.05190966694;2;1
"AESRD 2013 - SCO + Bitumen";1995-12-30;98.175005030521;2;1
"AESRD 2013 - SCO + Bitumen";1996-01-12;103.2981003941;2;1
"AESRD 2013 - SCO + Bitumen";1996-01-25;108.42119575768;2;1
"AESRD 2013 - SCO + Bitumen";1996-02-07;113.54429112126;2;1
"AESRD 2013 - SCO + Bitumen";1996-02-20;118.66738648485;2;1
"AESRD 2013 - SCO + Bitumen";1996-03-04;123.79048184843;2;1
"AESRD 2013 - SCO + Bitumen";1996-03-17;128.91357721201;2;1
"AESRD 2013 - SCO + Bitumen";1996-03-30;134.03667257559;2;1
"AESRD 2013 - SCO + Bitumen";1996-04-12;139.15976793917;2;1
"AESRD 2013 - SCO + Bitumen";1996-04-25;144.28286330275;2;1
"AESRD 2013 - SCO + Bitumen";1996-05-08;149.40595866633;2;1
"AESRD 2013 - SCO + Bitumen";1996-05-21;154.52905402991;2;1
"AESRD 2013 - SCO + Bitumen";1996-06-03;159.65214939349;2;1
"AESRD 2013 - SCO + Bitumen";1996-06-16;164.77524475708;2;1
"AESRD 2013 - SCO + Bitumen";1996-06-29;169.89834012066;2;1
"AESRD 2013 - SCO + Bitumen";1996-07-12;269985.38896098;2;1
"AESRD 2013 - SCO + Bitumen";1996-07-25;270184.62556867;2;1
"AESRD 2013 - SCO + Bitumen";1996-08-07;270383.86217636;2;1
"AESRD 2013 - SCO + Bitumen";1996-08-20;270583.09878406;2;1
"AESRD 2013 - SCO + Bitumen";1996-09-02;270782.33539176;2;1
"AESRD 2013 - SCO + Bitumen";1996-09-15;270981.57199945;2;1
"AESRD 2013 - SCO + Bitumen";1996-09-28;271180.80860715;2;1
"AESRD 2013 - SCO + Bitumen";1996-10-11;271380.04521485;2;1
"AESRD 2013 - SCO + Bitumen";1996-10-24;271579.28182254;2;1
"AESRD 2013 - SCO + Bitumen";1996-11-06;271778.51843025;2;1
"AESRD 2013 - SCO + Bitumen";1996-11-19;271977.75503793;2;1
"AESRD 2013 - SCO + Bitumen";1996-12-02;272176.99164563;2;1
"AESRD 2013 - SCO + Bitumen";1996-12-15;272376.22825332;2;1
"AESRD 2013 - SCO + Bitumen";1996-12-28;272575.46486102;2;1
"AESRD 2013 - SCO + Bitumen";1997-01-10;272774.70146871;2;1
"AESRD 2013 - SCO + Bitumen";1997-01-23;272973.93807641;2;1
"AESRD 2013 - SCO + Bitumen";1997-02-05;273173.17468411;2;1
"AESRD 2013 - SCO + Bitumen";1997-02-18;273372.4112918;2;1
"AESRD 2013 - SCO + Bitumen";1997-03-03;273571.64789949;2;1
"AESRD 2013 - SCO + Bitumen";1997-03-16;273770.8845072;2;1
"AESRD 2013 - SCO + Bitumen";1997-03-29;273970.12111489;2;1
"AESRD 2013 - SCO + Bitumen";1997-04-11;274169.35772258;2;1
"AESRD 2013 - SCO + Bitumen";1997-04-24;274368.59433029;2;1
"AESRD 2013 - SCO + Bitumen";1997-05-07;274567.83093798;2;1
"AESRD 2013 - SCO + Bitumen";1997-05-20;274767.06754567;2;1
"AESRD 2013 - SCO + Bitumen";1997-06-02;274966.30415337;2;1
"AESRD 2013 - SCO + Bitumen";1997-06-15;275165.54076107;2;1
"AESRD 2013 - SCO + Bitumen";1997-06-28;275364.77736876;2;1
"AESRD 2013 - SCO + Bitumen";1997-07-11;281020.13056892;2;1
"AESRD 2013 - SCO + Bitumen";1997-07-24;281317.11690267;2;1
"AESRD 2013 - SCO + Bitumen";1997-08-06;281614.10323643;2;1
"AESRD 2013 - SCO + Bitumen";1997-08-19;281911.0895702;2;1
"AESRD 2013 - SCO + Bitumen";1997-09-01;282208.07590395;2;1
"AESRD 2013 - SCO + Bitumen";1997-09-14;282505.06223771;2;1
"AESRD 2013 - SCO + Bitumen";1997-09-27;282802.04857147;2;1
"AESRD 2013 - SCO + Bitumen";1997-10-10;283099.03490524;2;1
"AESRD 2013 - SCO + Bitumen";1997-10-23;283396.02123899;2;1
"AESRD 2013 - SCO + Bitumen";1997-11-05;283693.00757275;2;1
"AESRD 2013 - SCO + Bitumen";1997-11-18;283989.99390651;2;1
"AESRD 2013 - SCO + Bitumen";1997-12-01;284286.98024027;2;1
"AESRD 2013 - SCO + Bitumen";1997-12-14;284583.96657402;2;1
