Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1967-07-01;1964.4888424782;2
"CAPP 2012 - SCO + Bitumen";1967-07-23;2765.181423611;2
"CAPP 2012 - SCO + Bitumen";1967-08-14;3565.8740047437;2
"CAPP 2012 - SCO + Bitumen";1967-09-05;4366.5665858765;2
"CAPP 2012 - SCO + Bitumen";1967-09-27;5167.2591670093;2
"CAPP 2012 - SCO + Bitumen";1967-10-19;5967.9517481421;2
"CAPP 2012 - SCO + Bitumen";1967-11-10;6768.6443292749;2
"CAPP 2012 - SCO + Bitumen";1967-12-02;7569.3369104077;2
"CAPP 2012 - SCO + Bitumen";1967-12-24;8370.0294915404;2
"CAPP 2012 - SCO + Bitumen";1968-01-15;9170.7220726732;2
"CAPP 2012 - SCO + Bitumen";1968-02-06;9971.4146538059;2
"CAPP 2012 - SCO + Bitumen";1968-02-28;10772.107234939;2
"CAPP 2012 - SCO + Bitumen";1968-03-21;11572.799816071;2
"CAPP 2012 - SCO + Bitumen";1968-04-12;12373.492397204;2
"CAPP 2012 - SCO + Bitumen";1968-05-04;13174.184978337;2
"CAPP 2012 - SCO + Bitumen";1968-05-26;13974.87755947;2
"CAPP 2012 - SCO + Bitumen";1968-06-17;14775.570140602;2
"CAPP 2012 - SCO + Bitumen";1968-07-09;15581.592769221;2
"CAPP 2012 - SCO + Bitumen";1968-07-31;16396.942980939;2
"CAPP 2012 - SCO + Bitumen";1968-08-22;17212.293192658;2
"CAPP 2012 - SCO + Bitumen";1968-09-13;18027.643404376;2
"CAPP 2012 - SCO + Bitumen";1968-10-05;18842.993616094;2
"CAPP 2012 - SCO + Bitumen";1968-10-27;19658.343827812;2
"CAPP 2012 - SCO + Bitumen";1968-11-18;20473.694039531;2
"CAPP 2012 - SCO + Bitumen";1968-12-10;21289.044251249;2
"CAPP 2012 - SCO + Bitumen";1969-01-01;22104.394462967;2
"CAPP 2012 - SCO + Bitumen";1969-01-23;22919.744674686;2
"CAPP 2012 - SCO + Bitumen";1969-02-14;23735.094886404;2
"CAPP 2012 - SCO + Bitumen";1969-03-08;24550.445098123;2
"CAPP 2012 - SCO + Bitumen";1969-03-30;25365.79530984;2
"CAPP 2012 - SCO + Bitumen";1969-04-21;26181.145521559;2
"CAPP 2012 - SCO + Bitumen";1969-05-13;26996.495733277;2
"CAPP 2012 - SCO + Bitumen";1969-06-04;27811.845944995;2
"CAPP 2012 - SCO + Bitumen";1969-06-26;28627.196156714;2
"CAPP 2012 - SCO + Bitumen";1969-07-18;29029.205829718;2
"CAPP 2012 - SCO + Bitumen";1969-08-09;29309.644756041;2
"CAPP 2012 - SCO + Bitumen";1969-08-31;29590.083682364;2
"CAPP 2012 - SCO + Bitumen";1969-09-22;29870.522608689;2
"CAPP 2012 - SCO + Bitumen";1969-10-14;30150.961535012;2
"CAPP 2012 - SCO + Bitumen";1969-11-05;30431.400461335;2
"CAPP 2012 - SCO + Bitumen";1969-11-27;30711.839387658;2
"CAPP 2012 - SCO + Bitumen";1969-12-19;30992.278313982;2
"CAPP 2012 - SCO + Bitumen";1970-01-10;31272.717240306;2
"CAPP 2012 - SCO + Bitumen";1970-02-01;31553.156166629;2
"CAPP 2012 - SCO + Bitumen";1970-02-23;31833.595092953;2
"CAPP 2012 - SCO + Bitumen";1970-03-17;32114.034019276;2
"CAPP 2012 - SCO + Bitumen";1970-04-08;32394.472945599;2
"CAPP 2012 - SCO + Bitumen";1970-04-30;32674.911871923;2
"CAPP 2012 - SCO + Bitumen";1970-05-22;32955.350798247;2
"CAPP 2012 - SCO + Bitumen";1970-06-13;33235.78972457;2
"CAPP 2012 - SCO + Bitumen";1970-07-05;33564.195982399;2
"CAPP 2012 - SCO + Bitumen";1970-07-27;34108.455232005;2
"CAPP 2012 - SCO + Bitumen";1970-08-18;34652.71448161;2
"CAPP 2012 - SCO + Bitumen";1970-09-09;35196.973731216;2
"CAPP 2012 - SCO + Bitumen";1970-10-01;35741.232980822;2
"CAPP 2012 - SCO + Bitumen";1970-10-23;36285.492230427;2
"CAPP 2012 - SCO + Bitumen";1970-11-14;36829.751480033;2
"CAPP 2012 - SCO + Bitumen";1970-12-06;37374.010729638;2
"CAPP 2012 - SCO + Bitumen";1970-12-28;37918.269979244;2
"CAPP 2012 - SCO + Bitumen";1971-01-19;38462.52922885;2
"CAPP 2012 - SCO + Bitumen";1971-02-10;39006.788478455;2
"CAPP 2012 - SCO + Bitumen";1971-03-04;39551.047728061;2
"CAPP 2012 - SCO + Bitumen";1971-03-26;40095.306977666;2
"CAPP 2012 - SCO + Bitumen";1971-04-17;40639.566227272;2
"CAPP 2012 - SCO + Bitumen";1971-05-09;41183.825476878;2
"CAPP 2012 - SCO + Bitumen";1971-05-31;41728.084726483;2
"CAPP 2012 - SCO + Bitumen";1971-06-22;42272.343976089;2
"CAPP 2012 - SCO + Bitumen";1971-07-14;42842.655961188;2
"CAPP 2012 - SCO + Bitumen";1971-08-05;43431.004455474;2
"CAPP 2012 - SCO + Bitumen";1971-08-27;44019.352949761;2
"CAPP 2012 - SCO + Bitumen";1971-09-18;44607.701444047;2
"CAPP 2012 - SCO + Bitumen";1971-10-10;45196.049938334;2
"CAPP 2012 - SCO + Bitumen";1971-11-01;45784.39843262;2
"CAPP 2012 - SCO + Bitumen";1971-11-23;46372.746926906;2
"CAPP 2012 - SCO + Bitumen";1971-12-15;46961.095421192;2
"CAPP 2012 - SCO + Bitumen";1972-01-06;47549.443915479;2
"CAPP 2012 - SCO + Bitumen";1972-01-28;48137.792409765;2
"CAPP 2012 - SCO + Bitumen";1972-02-19;48726.140904052;2
"CAPP 2012 - SCO + Bitumen";1972-03-12;49314.489398339;2
"CAPP 2012 - SCO + Bitumen";1972-04-03;49902.837892625;2
"CAPP 2012 - SCO + Bitumen";1972-04-25;50491.186386912;2
"CAPP 2012 - SCO + Bitumen";1972-05-17;51079.534881197;2
"CAPP 2012 - SCO + Bitumen";1972-06-08;51667.883375484;2
"CAPP 2012 - SCO + Bitumen";1972-06-30;52256.23186977;2
"CAPP 2012 - SCO + Bitumen";1972-07-22;52226.462290418;2
"CAPP 2012 - SCO + Bitumen";1972-08-13;52167.258517083;2
"CAPP 2012 - SCO + Bitumen";1972-09-04;52108.054743748;2
"CAPP 2012 - SCO + Bitumen";1972-09-26;52048.850970413;2
"CAPP 2012 - SCO + Bitumen";1972-10-18;51989.647197078;2
"CAPP 2012 - SCO + Bitumen";1972-11-09;51930.443423743;2
"CAPP 2012 - SCO + Bitumen";1972-12-01;51871.239650408;2
"CAPP 2012 - SCO + Bitumen";1972-12-23;51812.035877074;2
"CAPP 2012 - SCO + Bitumen";1973-01-14;51752.832103739;2
"CAPP 2012 - SCO + Bitumen";1973-02-05;51693.628330404;2
"CAPP 2012 - SCO + Bitumen";1973-02-27;51634.424557069;2
"CAPP 2012 - SCO + Bitumen";1973-03-21;51575.220783734;2
"CAPP 2012 - SCO + Bitumen";1973-04-12;51516.017010399;2
"CAPP 2012 - SCO + Bitumen";1973-05-04;51456.813237064;2
"CAPP 2012 - SCO + Bitumen";1973-05-26;51397.609463729;2
"CAPP 2012 - SCO + Bitumen";1973-06-17;51338.405690394;2
"CAPP 2012 - SCO + Bitumen";1973-07-09;51206.306680991;2
"CAPP 2012 - SCO + Bitumen";1973-07-31;50946.64100847;2
"CAPP 2012 - SCO + Bitumen";1973-08-22;50686.975335948;2
"CAPP 2012 - SCO + Bitumen";1973-09-13;50427.309663426;2
"CAPP 2012 - SCO + Bitumen";1973-10-05;50167.643990904;2
"CAPP 2012 - SCO + Bitumen";1973-10-27;49907.978318382;2
"CAPP 2012 - SCO + Bitumen";1973-11-18;49648.31264586;2
"CAPP 2012 - SCO + Bitumen";1973-12-10;49388.64697334;2
"CAPP 2012 - SCO + Bitumen";1974-01-01;49128.981300818;2
"CAPP 2012 - SCO + Bitumen";1974-01-23;48869.315628296;2
"CAPP 2012 - SCO + Bitumen";1974-02-14;48609.649955774;2
"CAPP 2012 - SCO + Bitumen";1974-03-08;48349.984283252;2
"CAPP 2012 - SCO + Bitumen";1974-03-30;48090.31861073;2
"CAPP 2012 - SCO + Bitumen";1974-04-21;47830.652938209;2
"CAPP 2012 - SCO + Bitumen";1974-05-13;47570.987265687;2
"CAPP 2012 - SCO + Bitumen";1974-06-04;47311.321593166;2
"CAPP 2012 - SCO + Bitumen";1974-06-26;47051.655920644;2
"CAPP 2012 - SCO + Bitumen";1974-07-18;46974.983729339;2
"CAPP 2012 - SCO + Bitumen";1974-08-09;46952.133150157;2
"CAPP 2012 - SCO + Bitumen";1974-08-31;46929.282570976;2
"CAPP 2012 - SCO + Bitumen";1974-09-22;46906.431991794;2
"CAPP 2012 - SCO + Bitumen";1974-10-14;46883.581412612;2
"CAPP 2012 - SCO + Bitumen";1974-11-05;46860.73083343;2
"CAPP 2012 - SCO + Bitumen";1974-11-27;46837.880254248;2
"CAPP 2012 - SCO + Bitumen";1974-12-19;46815.029675065;2
"CAPP 2012 - SCO + Bitumen";1975-01-10;46792.179095884;2
"CAPP 2012 - SCO + Bitumen";1975-02-01;46769.328516701;2
"CAPP 2012 - SCO + Bitumen";1975-02-23;46746.477937519;2
"CAPP 2012 - SCO + Bitumen";1975-03-17;46723.627358337;2
"CAPP 2012 - SCO + Bitumen";1975-04-08;46700.776779155;2
"CAPP 2012 - SCO + Bitumen";1975-04-30;46677.926199973;2
"CAPP 2012 - SCO + Bitumen";1975-05-22;46655.075620791;2
"CAPP 2012 - SCO + Bitumen";1975-06-13;46632.225041609;2
"CAPP 2012 - SCO + Bitumen";1975-07-05;46716.169935655;2
"CAPP 2012 - SCO + Bitumen";1975-07-27;47280.694459222;2
"CAPP 2012 - SCO + Bitumen";1975-08-18;47845.218982789;2
"CAPP 2012 - SCO + Bitumen";1975-09-09;48409.743506356;2
"CAPP 2012 - SCO + Bitumen";1975-10-01;48974.268029923;2
"CAPP 2012 - SCO + Bitumen";1975-10-23;49538.792553491;2
"CAPP 2012 - SCO + Bitumen";1975-11-14;50103.317077058;2
"CAPP 2012 - SCO + Bitumen";1975-12-06;50667.841600625;2
"CAPP 2012 - SCO + Bitumen";1975-12-28;51232.366124192;2
"CAPP 2012 - SCO + Bitumen";1976-01-19;51796.890647759;2
"CAPP 2012 - SCO + Bitumen";1976-02-10;52361.415171327;2
"CAPP 2012 - SCO + Bitumen";1976-03-03;52925.939694894;2
"CAPP 2012 - SCO + Bitumen";1976-03-25;53490.464218461;2
